time beta 
-53850 0.65757459
-53800 0.67719693
-53750 0.69094348
-53700 0.69876748
-53650 0.70089534
-53600 0.69780892
-53550 0.69021174
-53500 0.67898158
-53450 0.66511292
-53400 0.64965360
-53350 0.63364035
-53300 0.61803799
-53250 0.60368647
-53200 0.59125942
-53150 0.58123665
-53100 0.57389188
-53050 0.56929564
-53000 0.56733218
-52950 0.56772786
-52900 0.57008800
-52850 0.57393840
-52800 0.57876782
-52750 0.58406766
-52700 0.58936590
-52650 0.59425298
-52600 0.59839836
-52550 0.60155734
-52500 0.60356901
-52450 0.60434681
-52400 0.60386389
-52350 0.60213581
-52300 0.59920323
-52250 0.59511684
-52200 0.58992649
-52150 0.58367570
