time sealevel 
-61100 -73.9182653
-61050 -73.4657143
-61000 -73.0131633
-60950 -72.5606122
-60900 -72.1634036
-60850 -71.7882250
-60800 -71.4130464
-60750 -71.0378679
-60700 -70.6626893
-60650 -70.2875107
-60600 -69.9213919
-60550 -69.5531709
-60500 -69.1818034
-60450 -68.8082632
-60400 -68.4308947
-60350 -68.0617907
-60300 -67.7257442
-60250 -67.3896977
-60200 -67.0536512
-60150 -66.7176047
-60100 -66.3841200
-60050 -66.2360786
-60000 -66.1766143
-59950 -66.1171500
-59900 -66.0576857
-59850 -65.9982214
-59800 -65.9387571
-59750 -66.1442383
-59700 -66.3727581
-59650 -66.6012780
-59600 -66.8297978
-59550 -67.0583177
-59500 -67.2840564
-59450 -67.4752218
-59400 -67.6663872
-59350 -67.8575526
-59300 -68.0487180
-59250 -68.2398835
-59200 -68.2436341
-59150 -68.2265610
-59100 -68.2094878
-59050 -68.1924146
-59000 -68.0592500
-58950 -67.8192313
-58900 -67.5016940
-58850 -67.1841567
-58800 -66.8666194
-58750 -66.5490821
-58700 -66.2150647
-58650 -65.7798129
-58600 -65.3445612
-58550 -64.9098548
-58500 -64.4800161
-58450 -64.0501774
-58400 -63.7377443
-58350 -63.4444237
-58300 -63.1511031
-58250 -62.8577824
-58200 -62.5644618
-58150 -62.3895412
-58100 -62.2871882
-58050 -62.3198786
-58000 -62.3664104
-57950 -62.4129422
-57900 -62.5249294
-57850 -62.7202235
-57800 -62.9155176
-57750 -63.1108118
-57700 -63.3061059
-57650 -63.5203579
-57600 -63.7714105
-57550 -64.0224632
-57500 -64.2735158
-57450 -64.5599677
-57400 -64.9227610
-57350 -65.4076215
-57300 -65.8924821
-57250 -66.3773426
-57200 -66.8622032
-57150 -67.4209798
-57100 -68.1901331
-57050 -68.9592863
-57000 -69.7284395
-56950 -70.4975927
-56900 -71.2836786
-56850 -72.1092738
-56800 -72.8678125
-56750 -73.5825000
-56700 -74.2971875
-56650 -74.8860000
-56600 -75.2860000
-56550 -75.6860000
-56500 -76.0860000
-56450 -76.4860000
-56400 -76.6532863
-56350 -76.6377261
-56300 -76.6221660
-56250 -76.6066058
-56200 -76.5910456
-56150 -76.4071410
-56100 -76.1573547
-56050 -75.9075684
-56000 -75.6577821
-55950 -75.4079957
-55900 -75.1169234
-55850 -74.8250085
-55800 -74.5330936
-55750 -74.2411787
-55700 -73.9773864
-55650 -73.7859091
-55600 -73.5944318
-55550 -73.4029545
-55500 -73.2871429
-55450 -73.2648052
-55400 -73.2894805
-55350 -73.3141558
-55300 -73.3388312
-55250 -73.3635065
-55200 -73.4615025
-55150 -73.5609949
-55100 -73.6604873
-55050 -73.7590000
-55000 -73.8177984
-54950 -73.8522946
-54900 -73.8867907
-54850 -73.8678454
-54800 -73.8364021
-54750 -73.7433244
-54700 -73.6402133
-54650 -73.5371022
-54600 -73.4339911
-54550 -73.3239643
-54500 -73.2016429
-54450 -73.0793214
-54400 -72.9570000
-54350 -72.8346786
-54300 -72.7337761
-54250 -72.6437264
-54200 -72.5536766
-54150 -72.4636269
-54100 -72.3757869
-54050 -72.2905410
-54000 -72.2049694
-53950 -72.1034388
-53900 -71.9977339
-53850 -71.8266330
-53800 -71.6555321
-53750 -71.4844312
